,DIPUTADO,BLOQUE,PROVINCIA,¿CÓMO VOTÓ?
192,"PICHETTO, MIGUEL ANGEL",Encuentro Federal,Buenos Aires,ABSTENCION
193,"PICON MARTINEZ, NANCY VIVIANA",Produccion Y Trabajo,San Juan,AFIRMATIVO
194,"PIPARO, CAROLINA",La Libertad Avanza,Buenos Aires,AFIRMATIVO
195,"POKOIK, LORENA",Union Por La Patria,C.A.B.A.,NEGATIVO
196,"POLINI, JUAN CARLOS",Democracia Para Siempre,Chaco,AFIRMATIVO
197,"PONCE, MARIA CELESTE",La Libertad Avanza,Córdoba,AFIRMATIVO
198,"POTENZA, LUCIANA",Union Por La Patria,Buenos Aires,NEGATIVO
199,"PROPATO, AGUSTINA LUCRECIA",Union Por La Patria,Buenos Aires,NEGATIVO
200,"QUETGLAS, FABIO JOSE",Ucr - Union Civica Radical,Buenos Aires,AFIRMATIVO
201,"QUINTAR, MANUEL",La Libertad Avanza,Jujuy,AFIRMATIVO
202,"QUIROZ, MARILU",Pro,Chaco,AFIRMATIVO
203,"RANDAZZO, FLORENCIO",Encuentro Federal,Buenos Aires,AFIRMATIVO
204,"RAUSCHENBERGER, ARIEL",Union Por La Patria,La Pampa,NEGATIVO
205,"RAZZINI, VERONICA",Pro,Santa Fe,AFIRMATIVO
206,"REYES, ROXANA",Ucr - Union Civica Radical,Santa Cruz,AFIRMATIVO
207,"RITONDO, CRISTIAN A.",Pro,Buenos Aires,AFIRMATIVO
208,"RIZZOTTI, JORGE",Democracia Para Siempre,Jujuy,AFIRMATIVO
209,"RODRIGUEZ MACHADO, LAURA",Pro,Córdoba,AFIRMATIVO
210,"ROMERO, ANA CLARA",Pro,Chubut,AFIRMATIVO
211,"ROMERO, JORGE ANTONIO",Union Por La Patria,Corrientes,NEGATIVO
212,"RUIZ, YAMILA",Innovacion Federal,Misiones,AFIRMATIVO
213,"SANCHEZ, ROBERTO ANTONIO",Ucr - Union Civica Radical,Tucumán,AFIRMATIVO
214,"SAND, NANCY",Union Por La Patria,Corrientes,NEGATIVO
215,"SANTILLAN JUAREZ BRAHIM, JULIANA",La Libertad Avanza,Buenos Aires,AFIRMATIVO
216,"SANTILLI, DIEGO",Pro,Buenos Aires,AFIRMATIVO
217,"SANTORO, LEANDRO",Union Por La Patria,C.A.B.A.,NEGATIVO
218,"SANTURIO, SANTIAGO",La Libertad Avanza,Buenos Aires,AFIRMATIVO
219,"SARAPURA, NATALIA SILVINA",Ucr - Union Civica Radical,Jujuy,AFIRMATIVO
220,"SCHLOTTHAUER, MONICA LETICIA",Izquierda Socialista Fit-unidad,Buenos Aires,NEGATIVO
221,"SELVA, SABRINA",Union Por La Patria,Buenos Aires,NEGATIVO
222,"SILEY, VANESA RAQUEL",Union Por La Patria,Buenos Aires,NEGATIVO
223,"SNOPEK, GUILLERMO",Union Por La Patria,Jujuy,NEGATIVO
224,"SORIA, MARTIN",Union Por La Patria,Rio Negro,NEGATIVO
225,"SOTOLANO, MARIA",Pro,Buenos Aires,AFIRMATIVO
226,"STOLBIZER, MARGARITA",Encuentro Federal,Buenos Aires,AFIRMATIVO
227,"STRADA, JULIA",Union Por La Patria,Buenos Aires,NEGATIVO
228,"TAILHADE, RODOLFO",Union Por La Patria,Buenos Aires,NEGATIVO
229,"TAVELA, DANYA",Democracia Para Siempre,Buenos Aires,AFIRMATIVO
230,"TETAZ, MARTIN ALBERTO",Ucr - Union Civica Radical,C.A.B.A.,AFIRMATIVO
231,"TODERO, PABLO",Union Por La Patria,Neuquén,NEGATIVO
232,"TOLOSA PAZ, VICTORIA",Union Por La Patria,Buenos Aires,NEGATIVO
233,"TONIOLLI, EDUARDO",Union Por La Patria,Santa Fe,NEGATIVO
234,"TORRES, ALEJANDRA",Encuentro Federal,Córdoba,AFIRMATIVO
235,"TORTORIELLO, ANIBAL",Pro,Rio Negro,AFIRMATIVO
236,"TOURNIER, JOSE FEDERICO",Ucr - Union Civica Radical,Corrientes,AFIRMATIVO
237,"TREFFINGER, CESAR",La Libertad Avanza,Chubut,AFIRMATIVO
238,"VALDES, EDUARDO FELIX",Union Por La Patria,C.A.B.A.,NEGATIVO
239,"VANCSIK, DANIEL",Innovacion Federal,Misiones,AFIRMATIVO
